specialty,category,travel_time_urban_min,travel_time_urban_miles,travel_time_rural_min,travel_time_rural_miles,provider_ratio_standard,source
Primary Care Providers,Primary Care,30,20,30,20,1:750 enrollees,"Exhibit II-A, Table 4"
Allergy,Specialist,80,60,90,75,"1:20,000 enrollees","Exhibit II-A, Table 4"
Cardiology,Specialist,50,35,75,60,"1:3,700 enrollees","Exhibit II-A, Table 4"
Cardiology (Pediatric),Specialist,100,75,110,90,"1:16,667 enrollees","Exhibit II-A, Table 4"
Cardiovascular Surgery,Specialist,100,75,110,90,"1:10,000 enrollees","Exhibit II-A, Table 4"
Chiropractic,Specialist,80,60,90,75,"1:10,000 enrollees","Exhibit II-A, Table 4"
Dermatology,Specialist,60,45,75,60,"1:7,900 enrollees","Exhibit II-A, Table 4"
Endocrinology,Specialist,100,75,110,90,"1:25,000 enrollees","Exhibit II-A, Table 4"
Endocrinology (Pediatric),Specialist,100,75,110,90,"1:20,000 enrollees","Exhibit II-A, Table 4"
Gastroenterology,Specialist,60,45,75,60,"1:8,333 enrollees","Exhibit II-A, Table 4"
General Surgery,Specialist,50,35,75,60,"1:3,500 enrollees","Exhibit II-A, Table 4"
Infectious Diseases,Specialist,100,75,110,90,"1:6,250 enrollees","Exhibit II-A, Table 4"
Internal Medicine Specialist,Specialist,30,20,30,20,"1:3,000 enrollees","Exhibit II-A, Table 4"
Midwife,Specialist,80,60,90,75,"1:20,000 enrollees","Exhibit II-A, Table 4"
Nephrology,Specialist,80,60,90,75,"1:11,100 enrollees","Exhibit II-A, Table 4"
Nephrology (Pediatric),Specialist,100,75,110,90,"1:39,600 enrollees","Exhibit II-A, Table 4"
Neurology,Specialist,60,45,75,60,"1:8,300 enrollees","Exhibit II-A, Table 4"
Neurology (Pediatric),Specialist,100,75,110,90,"1:22,800 enrollees","Exhibit II-A, Table 4"
Neurosurgery,Specialist,100,75,110,90,"1:10,000 enrollees","Exhibit II-A, Table 4"
Obstetrics/Gynecology,Specialist,50,35,75,60,"1:1,500 enrollees","Exhibit II-A, Table 4"
Oncology,Specialist,80,60,90,75,"1:5,200 enrollees","Exhibit II-A, Table 4"
Ophthalmology,Specialist,50,35,75,60,"1:4,100 enrollees","Exhibit II-A, Table 4"
Optometry,Specialist,50,35,75,60,"1:1,700 enrollees","Exhibit II-A, Table 4"
Orthopedic Surgery,Specialist,50,35,75,60,"1:5,000 enrollees","Exhibit II-A, Table 4"
Otolaryngology (ENT),Specialist,80,60,90,75,"1:3,500 enrollees","Exhibit II-A, Table 4"
Pediatrics (including Adolescent Medicine),Specialist,50,35,75,60,"1:1,500 enrollees","Exhibit II-A, Table 4"
Pharmacy,Specialist,15,10,15,10,"1:2,500 enrollees","Exhibit II-A, Table 4"
24-Hour Pharmacy,Specialist,60,45,60,45,N/A,"Exhibit II-A, Table 4"
Podiatry,Specialist,60,45,75,60,"1:5,200 enrollees","Exhibit II-A, Table 4"
Pulmonology,Specialist,60,45,75,60,"1:7,600 enrollees","Exhibit II-A, Table 4"
Rheumatology,Specialist,100,75,110,90,"1:14,400 enrollees","Exhibit II-A, Table 4"
Therapist (Occupational),Specialist,50,35,75,60,"1:1,500 enrollees","Exhibit II-A, Table 4"
"Therapist, Pediatric (Occupational)",Specialist,30,20,60,45,"1:1,500 enrollees","Exhibit II-A, Table 4"
Therapist (Speech),Specialist,50,35,75,60,"1:1,500 enrollees","Exhibit II-A, Table 4"
"Therapist, Pediatric (Speech)",Specialist,30,20,60,45,"1:1,500 enrollees","Exhibit II-A, Table 4"
Therapist (Physical),Specialist,50,35,75,60,"1:1,500 enrollees","Exhibit II-A, Table 4"
"Therapist, Pediatric (Physical)",Specialist,30,20,60,45,"1:1,500 enrollees","Exhibit II-A, Table 4"
Therapist (Respiratory),Specialist,100,75,110,90,"1:8,600 enrollees","Exhibit II-A, Table 4"
"Therapist, Pediatric (Respiratory)",Specialist,60,45,75,60,"1:1,500 enrollees","Exhibit II-A, Table 4"
Urology,Specialist,60,45,75,60,"1:10,000 enrollees","Exhibit II-A, Table 4"
24/7 Emergency Service Facility,Facility,30,20,30,20,2 per county,"Exhibit II-A, Table 4"
Durable Medical Equipment / Home Medical Equipment,Facility,N/A,N/A,N/A,N/A,2 per county,"Exhibit II-A, Table 4"
Home Health Agency,Facility,N/A,N/A,N/A,N/A,2 per county,"Exhibit II-A, Table 4"
Hospice,Facility,N/A,N/A,N/A,N/A,2 per county,"Exhibit II-A, Table 4"
Hospitals (Acute Care),Facility,30,20,30,20,1 bed: 275 enrollees,"Exhibit II-A, Table 4"
Hospital or Facility with Birth/Delivery Services (including Birthing Center),Facility,30,20,30,20,1 bed: 275 enrollees,"Exhibit II-A, Table 4"
Fully Accredited Psychiatric Community Hospital (Adult) / Crisis Stabilization Units,Facility,N/A,N/A,N/A,N/A,"1 bed: 2,000 enrollees","Exhibit II-A, Table 4"
Fully Accredited Psychiatric Community Hospital (Child) / Crisis Stabilization Units,Facility,N/A,N/A,N/A,N/A,"1 bed: 3,000 enrollees","Exhibit II-A, Table 4"
Statewide Inpatient Psychiatric Program Providers (Under 21),Facility,N/A,N/A,N/A,N/A,"1 bed: 3,000 enrollees","Exhibit II-A, Table 4"
Medication and Methadone Treatment Programs,Facility,30,20,60,45,N/A,"Exhibit II-A, Table 4"
Licensed Practitioners of the Healing Arts (LPHA),Behavioral Health,30,20,30,20,"1:1,000 enrollees","Exhibit II-A, Table 4"
Board Certified/Eligible Child Psychiatrist,Behavioral Health,30,20,60,45,"1:3,500 enrollees","Exhibit II-A, Table 4"
Behavioral Health Assistant Analyst (BCaBA),Behavioral Health,N/A,N/A,N/A,N/A,Counts as 0.5 Lead Analyst,"Exhibit II-A, Table 4"
Board Certified/Eligible Adult Psychiatrist,Behavioral Health,30,20,60,45,1:375 enrollees,"Exhibit II-A, Table 4"
Inpatient Substance Abuse Detoxification Units,Behavioral Health,N/A,N/A,N/A,N/A,"1 bed: 1,000 enrollees","Exhibit II-A, Table 4"
Lead Analyst (BCBA),Behavioral Health,N/A,N/A,N/A,N/A,1 per 775 enrollees,"Exhibit II-A, Table 4"
Registered Behavior Technician (RBT),Behavioral Health,N/A,N/A,N/A,N/A,1 per 125 enrollees,"Exhibit II-A, Table 4"
General Dentist,Dental,50,35,65,45,"1:1,500","Dental Attachment II, Table 4"
Pediatric Dentist,Dental,50,35,65,45,"1:3,000","Dental Attachment II, Table 4"
Endodontist,Dental,60,50,90,75,"1:5,000","Dental Attachment II, Table 4"
Orthodontist,Dental,60,50,90,75,"1:38,500","Dental Attachment II, Table 4"
Oral Surgeon,Dental,60,50,90,75,"1:20,600","Dental Attachment II, Table 4"
Periodontist,Dental,N/A,N/A,N/A,N/A,Referral basis,"Dental Attachment II, p.84"
Prosthodontist,Dental,N/A,N/A,N/A,N/A,Referral basis,"Dental Attachment II, p.84"
