program,specialty,nucc_code,nucc_classification,nucc_specialization,nucc_definition,match_confidence
MCO,Adult Primary Care,207R00000X,Internal Medicine,,"A physician who provides long-term, comprehensive care in the office and the hospital, managing both common and complex illness of adolescents, adults and the elderly. Internists are trained in the diagnosis and treatment of cancer, infections and diseases affecting the heart, blood, kidneys, joints and digestive, respiratory and vascular systems. They are also trained in the essentials of primary care internal medicine, which incorporates an understanding of disease prevention, wellness, substance abuse, mental health and effective treatment of common problems of the eyes, ears, skin, nervous system and reproductive organs.",best-effort
MCO,Adult Primary Care,207QA0000X,Family Medicine,Adolescent Medicine,"A family medicine physician with multidisciplinary training in the unique physical, psychological and social characteristics of adolescents and their health care problems and needs.",best-effort
MCO,Adult Primary Care,208D00000X,General Practice,,"A physician who specializes in the general practice of diagnosing, treating, and managing patients with a variety of illnesses and conditions.",best-effort
MCO,Adult Dental,122300000X,Dentist,,"A dentist is a person qualified by a doctorate in dental surgery (D.D.S.) or dental medicine (D.M.D.), licensed by the state to practice dentistry, and practicing within the scope of that license.  There is no difference between the two degrees: dentists who have a DMD or DDS have the same education.  Universities have the prerogative to determine what degree is awarded.  Both degrees use the same curriculum requirements set by the American Dental Association's Commission on Dental Accreditation.  Generally, three or more years of undergraduate education plus four years of dental school is required to graduate and become a general dentist.  State licensing boards accept either degree as equivalent, and both degrees allow licensed individuals to practice the same scope of general dentistry.  Additional post-graduate training is required to become a dental specialist.",best-effort
MCO,Allergy,207KA0200X,Allergy & Immunology,Allergy,"A physician who specializes in the diagnosis, treatment, and management of allergies.",best-effort
MCO,Behavioral Health,2084P0802X,Psychiatry & Neurology,Addiction Psychiatry,"Addiction Psychiatry is a subspecialty of psychiatry that focuses on evaluation and treatment of individuals with alcohol, drug, or other substance-related disorders, and of individuals with dual diagnosis of substance-related and other psychiatric disorders.",best-effort
MCO,Behavioral Health,103TC0700X,Psychologist,Clinical,"A psychologist who provides continuing and comprehensive mental and behavioral health care for individuals and families; consultation to agencies and communities; training, education and supervision; and research-based practice. It is a specialty in breadth -- one that is broadly inclusive of severe psychopathology -- and marked by comprehensiveness and integration of knowledge and skill from a broad array of disciplines within and outside of psychology proper. The scope of clinical psychology encompasses all ages, multiple diversities and varied systems.",best-effort
MCO,Behavioral Health,1041C0700X,Social Worker,Clinical,"A social worker who holds a master's or doctoral degree in social work from an accredited school of social work in addition to at least two years of post-master's supervised experience in a clinical setting. The social worker must be licensed, certified, or registered at the clinical level in the jurisdiction of practice. A clinical social worker provides direct services, including interventions focused on interpersonal interactions, intrapsychic dynamics, and life management issues. Clinical social work services are based on bio-psychosocial perspectives. Services consist of assessment, diagnosis, treatment (including psychotherapy and counseling), client-centered advocacy, consultation, evaluation, and prevention of mental illness, emotional, or behavioral disturbances.",best-effort
MCO,Cardiology,207RC0000X,Internal Medicine,Cardiovascular Disease,"An internist who specializes in diseases of the heart and blood vessels and manages complex cardiac conditions such as heart attacks and life-threatening, abnormal heartbeat rhythms.",best-effort
MCO,Outpatient Dialysis,261Q00000X,Clinic/Center,,"A facility or distinct part of one used for the diagnosis and treatment of outpatients. ""Clinic/Center"" is irregularly defined, sometimes being limited to organizations serving specialized treatment requirements or distinct patient/client groups (e.g., radiology, poor, and public health).",best-effort
