source,source_code,source_name,source_category,nucc_code,nucc_grouping,nucc_classification,nucc_specialization,nucc_definition,match_confidence
DIFS,001,General Practice,Primary Care,208D00000X,Allopathic & Osteopathic Physicians,General Practice,,"A physician who specializes in the general practice of diagnosing, treating, and managing patients with a variety of illnesses and conditions.",best-effort
DIFS,002,Family Medicine,Primary Care,207Q00000X,Allopathic & Osteopathic Physicians,Family Medicine,,"Family Medicine is the medical specialty which is concerned with the total health care of the individual and the family. It is the specialty in breadth which integrates the biological, clinical, and behavioral sciences. The scope of family medicine is not limited by age, sex, organ system, or disease entity.",best-effort
DIFS,003,Internal Medicine,Primary Care,207R00000X,Allopathic & Osteopathic Physicians,Internal Medicine,,"A physician who provides long-term, comprehensive care in the office and the hospital, managing both common and complex illness of adolescents, adults and the elderly. Internists are trained in the diagnosis and treatment of cancer, infections and diseases affecting the heart, blood, kidneys, joints and digestive, respiratory and vascular systems. They are also trained in the essentials of primary care internal medicine, which incorporates an understanding of disease prevention, wellness, substance abuse, mental health and effective treatment of common problems of the eyes, ears, skin, nervous system and reproductive organs.",best-effort
DIFS,004,Geriatrics,Primary Care,207RG0300X,,Internal Medicine,,Geriatric Medicine (Internal Medicine) Physician,best-effort
DIFS,005,Primary Care - PA,Primary Care,363A00000X,Physician Assistants & Advanced Practice Nursing Providers,Physician Assistant,,"A physician assistant is a person who has successfully completed an accredited education program for physician assistant, is licensed by the state and is practicing within the scope of that license. Physician assistants are formally trained to perform many of the routine, time-consuming tasks a physician can do. In some states, they may prescribe medications. They take medical histories, perform physical exams, order lab tests and x-rays, and give inoculations. Most states require that they work under the supervision of a physician.",best-effort
DIFS,006,Primary Care - Advanced Reg NP,Primary Care,363L00000X,Physician Assistants & Advanced Practice Nursing Providers,Nurse Practitioner,,"(1) A registered nurse provider with a graduate degree in nursing prepared for advanced practice involving independent and interdependent decision making and direct accountability for clinical judgment across the health care continuum or in a certified specialty. (2) A registered nurse who has completed additional training beyond basic nursing education and who provides primary health care services in accordance with state nurse practice laws or statutes. Tasks performed by nurse practitioners vary with practice requirements mandated by geographic, political, economic, and social factors. Nurse practitioner specialists include, but are not limited to, family nurse practitioners, gerontological nurse practitioners, pediatric nurse practitioners, obstetric-gynecologic nurse practitioners, and school nurse practitioners.",best-effort
DIFS,007,Allergy and Immunology,Specialist,207K00000X,Allopathic & Osteopathic Physicians,Allergy & Immunology,,"An allergist-immunologist is trained in evaluation, physical and laboratory diagnosis, and management of disorders involving the immune system. Selected examples of such conditions include asthma, anaphylaxis, rhinitis, eczema, and adverse reactions to drugs, foods, and insect stings as well as immune deficiency diseases (both acquired and congenital), defects in host defense, and problems related to autoimmune disease, organ transplantation, or malignancies of the immune system.",best-effort
DIFS,008,Cardiology,Specialist,207RC0000X,Allopathic & Osteopathic Physicians,Internal Medicine,Cardiovascular Disease,"An internist who specializes in diseases of the heart and blood vessels and manages complex cardiac conditions such as heart attacks and life-threatening, abnormal heartbeat rhythms.",best-effort
DIFS,010,Chiropractor,Ancillary,111N00000X,Chiropractic Providers,Chiropractor,,"A provider qualified by a Doctor of Chiropractic (D.C.), licensed by the State and who practices chiropractic medicine -that discipline within the healing arts which deals with the nervous system and its relationship to the spinal column and its interrelationship with other body systems.",best-effort
DIFS,011,Dermatology,Specialist,207N00000X,Allopathic & Osteopathic Physicians,Dermatology,,"A dermatologist is trained to diagnose and treat pediatric and adult patients with benign and malignant disorders of the skin, mouth, external genitalia, hair and nails, as well as a number of sexually transmitted diseases. The dermatologist has had additional training and experience in the diagnosis and treatment of skin cancers, melanomas, moles and other tumors of the skin, the management of contact dermatitis and other allergic and nonallergic skin disorders, and in the recognition of the skin manifestations of systemic (including internal malignancy) and infectious diseases. Dermatologists have special training in dermatopathology and in the surgical techniques used in dermatology. They also have expertise in the management of cosmetic disorders of the skin such as hair loss and scars and the skin changes associated with aging.",best-effort
DIFS,012,Endocrinology,Specialist,207RE0101X,,Internal Medicine,,"Endocrinology, Diabetes & Metabolism Physician",best-effort
DIFS,013,ENT/Otolaryngology,Specialist,207Y00000X,,Otolaryngology,,Otolaryngology Physician,best-effort
DIFS,014,Gastroenterology,Specialist,207RG0100X,,Internal Medicine,,Gastroenterology Physician,best-effort
DIFS,015,General Surgery,Specialist,208600000X,Allopathic & Osteopathic Physicians,Surgery,,"A general surgeon has expertise related to the diagnosis - preoperative, operative and postoperative management - and management of complications of surgical conditions in the following areas: alimentary tract; abdomen; breast, skin and soft tissue; endocrine system; head and neck surgery; pediatric surgery; surgical critical care; surgical oncology; trauma and burns; and vascular surgery. General surgeons increasingly provide care through the use of minimally invasive and endoscopic techniques. Many general surgeons also possess expertise in transplantation surgery, plastic surgery and cardiothoracic surgery.",best-effort
DIFS,016,Gynecology (OB/GYN),OB/GYN,207V00000X,,Obstetrics & Gynecology,,Obstetrics & Gynecology Physician,best-effort
DIFS,017,Infectious Diseases,Specialist,207RI0001X,Allopathic & Osteopathic Physicians,Internal Medicine,Clinical & Laboratory Immunology,An internal medicine physician who specializes in clinical and laboratory immunology disease management.,best-effort
DIFS,018,Nephrology,Specialist,207RN0300X,,Internal Medicine,,Nephrology Physician,best-effort
DIFS,019,Neurology,Specialist,2084N0400X,Allopathic & Osteopathic Physicians,Psychiatry & Neurology,Neurology,"A Neurologist specializes in the diagnosis and treatment of diseases or impaired function of the brain, spinal cord, peripheral nerves, muscles, autonomic nervous system, and blood vessels that relate to these structures.",best-effort
DIFS,020,Neurosurgery,Specialist,207T00000X,Allopathic & Osteopathic Physicians,Neurological Surgery,,"A neurological surgeon provides the operative and non-operative management (i.e., prevention, diagnosis, evaluation, treatment, critical care, and rehabilitation) of disorders of the central, peripheral, and autonomic nervous systems, including their supporting structures and vascular supply; the evaluation and treatment of pathological processes which modify function or activity of the nervous system; and the operative and non-operative management of pain. A neurological surgeon treats patients with disorders of the nervous system; disorders of the brain, meninges, skull, and their blood supply, including the extracranial carotid and vertebral arteries; disorders of the pituitary gland; disorders of the spinal cord, meninges, and vertebral column, including those which may require treatment by spinal fusion or instrumentation; and disorders of the cranial and spinal nerves throughout their distribution.",best-effort
DIFS,021,Oncology - Medical & Surgical,Specialist,207RX0202X,,Internal Medicine,,Medical Oncology Physician,best-effort
DIFS,022,Oncology - Radiation,Specialist,2085R0001X,Allopathic & Osteopathic Physicians,Radiology,Radiation Oncology,"A radiologist who deals with the therapeutic applications of radiant energy and its modifiers and the study and management of disease, especially malignant tumors.",best-effort
DIFS,023,Ophthalmology,Specialist,207W00000X,Allopathic & Osteopathic Physicians,Ophthalmology,,"An ophthalmologist has the knowledge and professional skills needed to provide comprehensive eye and vision care. Ophthalmologists are medically trained to diagnose, monitor and medically or surgically treat all ocular and visual disorders. This includes problems affecting the eye and its component structures, the eyelids, the orbit and the visual pathways. In so doing, an ophthalmologist prescribes vision services, including glasses and contact lenses.",best-effort
DIFS,025,Orthopedic Surgery,Specialist,207X00000X,Allopathic & Osteopathic Physicians,Orthopaedic Surgery,,"An orthopaedic surgeon is trained in the preservation, investigation and restoration of the form and function of the extremities, spine and associated structures by medical, surgical and physical means.  An orthopaedic surgeon is involved with the care of patients whose musculoskeletal problems include congenital deformities, trauma, infections, tumors, metabolic disturbances of the musculoskeletal system, deformities, injuries and degenerative diseases of the spine, hands, feet, knee, hip, shoulder and elbow in children and adults. An orthopaedic surgeon is also concerned with primary and secondary muscular problems and the effects of central or peripheral nervous system lesions of the musculoskeletal system.",best-effort
DIFS,026,Physical Medicine & Rehabilitation,Specialist,208100000X,Allopathic & Osteopathic Physicians,Physical Medicine & Rehabilitation,,"Physical medicine and rehabilitation, also referred to as rehabilitation medicine, is the medical specialty concerned with diagnosing, evaluating, and treating patients with physical disabilities. These disabilities may arise from conditions affecting the musculoskeletal system such as neck and back pain, sports injuries, or other painful conditions affecting the limbs, such as carpal tunnel syndrome. Alternatively, the disabilities may result from neurological trauma or disease such as spinal cord injury, head injury or stroke. A physician certified in physical medicine and rehabilitation is often called a physiatrist. The primary goal of the physiatrist is to achieve maximal restoration of physical, psychological, social and vocational function through comprehensive rehabilitation. Pain management is often an important part of the role of the physiatrist. For diagnosis and evaluation, a physiatrist may include the techniques of electromyography to supplement the standard history, physical, x-ray and laboratory examinations. The physiatrist has expertise in the appropriate use of therapeutic exercise, prosthetics (artificial limbs), orthotics and mechanical and electrical devices.",best-effort
DIFS,027,Plastic Surgery,Specialist,208200000X,Allopathic & Osteopathic Physicians,Plastic Surgery,,"A plastic surgeon deals with the repair, reconstruction or replacement of physical defects of form or function involving the skin, musculoskeletal system, craniomaxillofacial structures, hand, extremities, breast and trunk and external genitalia or cosmetic enhancement of these areas of the body. Cosmetic surgery is an essential component of plastic surgery. The plastic surgeon uses cosmetic surgical principles to both improve overall appearance and to optimize the outcome of reconstructive procedures. The surgeon uses aesthetic surgical principles not only to improve undesirable qualities of normal structures but in all reconstructive procedures as well.",best-effort
